FFT_200Hz,FFT_400Hz,FFT_600Hz,FFT_800Hz,FFT_1000Hz,FFT_1200Hz,FFT_1400Hz,FFT_1600Hz,FFT_1800Hz,FFT_2000Hz,Curvature,Timestamp
0.0021722121,0.0019529634,0.0025707288,0.0024764438,0.0017608876,0.0024508366,0.0027727026,0.002268311,0.0024120763,0.0022452222,0.01818181818181818,2025-05-05T14:20:12.748992
0.0022350515,0.0019549895,0.0025708203,0.002463785,0.0017903526,0.0024398633,0.0027738337,0.0022388105,0.002386342,0.0022355204,0.01818181818181818,2025-05-05T14:20:12.791538
0.0021257622,0.0019883164,0.0025542208,0.0025078834,0.0017449891,0.002469196,0.002819538,0.0022639807,0.0023406553,0.0022654224,0.01818181818181818,2025-05-05T14:20:12.832603
0.0021048284,0.0019786006,0.0025727449,0.0025410089,0.0017377811,0.002459813,0.0028333957,0.002266378,0.0023335991,0.0022645476,0.01818181818181818,2025-05-05T14:20:12.874444
0.0023005803,0.0019802102,0.00261326,0.0025459793,0.001701582,0.0024700768,0.0028126196,0.002295078,0.0023348073,0.0022643097,0.01818181818181818,2025-05-05T14:20:12.916936
0.0022654517,0.0020520443,0.0025937366,0.0025708512,0.0017194345,0.0024697715,0.0028079408,0.002321943,0.0023785725,0.0022381106,0.01818181818181818,2025-05-05T14:20:12.957930
0.002152163,0.0020488068,0.0025749886,0.0025740862,0.0017231612,0.0024580327,0.0028097967,0.002351386,0.0023890727,0.0022644782,0.01818181818181818,2025-05-05T14:20:13.021204
0.002262856,0.0020262282,0.0025939962,0.0025564232,0.0017361214,0.0024583498,0.0028067867,0.0023326902,0.0023959265,0.0022631017,0.01818181818181818,2025-05-05T14:20:13.061525
0.0022634438,0.0020190293,0.002609297,0.0025188534,0.0017154061,0.002447689,0.0027929754,0.0023265572,0.0024168633,0.0022607201,0.01818181818181818,2025-05-05T14:20:13.103177
0.0021243424,0.0020340912,0.0026257907,0.002504563,0.0017145822,0.0024246625,0.002814583,0.002294233,0.0024130265,0.0022331597,0.01818181818181818,2025-05-05T14:20:13.146163
